District,30-Dec,31-Dec,01-Jan,02-Jan,03-Jan
Thiruvananthapuram,L to M,L to M,L.,No rain,No rain
Kollam,L to M,L to M,L.,No rain,No rain
Pathanamthitta,L to M,L to M,L.,No rain,No rain
Alappuzha,L.,L.,L.,No rain,No rain
Kottayam,L.,L.,No rain,No rain,No rain
Ernakulam,L.,L.,No rain,No rain,No rain
Idukki,L to M,L to M,No rain,No rain,No rain
Thrissur,L.,L.,No rain,No rain,No rain
Palakkad,L.,L.,No rain,No rain,No rain
Malappuram,L.,No rain,No rain,No rain,No rain
Kozhikode,L.,No rain,No rain,No rain,No rain
Wayanad,L.,No rain,No rain,No rain,No rain
Kannur,No rain,No rain,No rain,No rain,No rain
Kasaragode,No rain,No rain,No rain,No rain,No rain
Lakshadweep,L.,L.,L.,No rain,No rain
