Date,Station_Index_Number,Maximum Temperature (°C),Minimum Temperature (°C),Rainfall (mm)
29.01.2022,Thiruvananthapuram City (43371),34.0,23.0,0.0
29.01.2022,Thiruvananthapuram Airport (43372),32.4,21.0,0.0
29.01.2022,Punalur (43354),35.4,19.0,0.0
29.01.2022,Alappuzha (43352),34.5,24.0,0.0
29.01.2022,Kottayam (43355),36.5,22.4,0.0
29.01.2022,Kochi Airport (43353),32.0,23.2,0.0
29.01.2022,CIAL Kochi (43336),35.1,21.8,0.0
29.01.2022,Vellanikkara (43357),33.7,25.4,0.0
29.01.2022,Palakkad (43335),31.6,25.9,0.0
29.01.2022,Karipur Airport (43320),34.2,19.9,0.0
29.01.2022,Kozhikode City (43314),34.9,24.0,0.0
29.01.2022,Kannur (43315),36.0,24.5,0.0
29.01.2022,Agathi Airport (43266),30.4,26.4,0.0
29.01.2022,Amini (43311),33.0,24.0,0.0
29.01.2022,Minicoy (43369),30.7,23.7,0.0
